[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3874589111.16648,10/10/2022,6:45 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Quidel - 101022,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.38,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.25,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"ZFC, 1000",3874589111.2818
,3874589268.17918,4.99995374679565,1000.37194824219,0.000850605461676495,9.44346581496006E-8,1,2,13.0063810348511,5.00211073770235,33.7399989366531,1.10017680783572,0.165224972117718,1,3.24550883599517E-6,,,,,,,,,,,,,,,,,,,,,4.99995374679565,4.99995374679565,1000.37194824219,1000.37194824219,55.2810678368616,5.52455182599828,3.49206209182739,26,1,0,0,1,0.289459228515625,32.7468223571777,1,1,1,4.99995374679565,0,4232058784,4.99995374679565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874589270.94881,5.00073671340942,1000.37194824219,0.00085074262404927,1.24022954928176E-7,1,2,13.0063810348511,5.00242744792316,33.7399989366531,1.10045874532234,0.165215843695316,1,3.20711864832927E-6,,,,,,,,,,,,,,,,,,,,,5.00073671340942,5.00073671340942,1000.37194824219,1000.37194824219,55.3373450902462,5.52347977656961,3.48773908615112,26,1,0,0,1,0.2899169921875,32.7468223571777,6,1,1,5.00073671340942,0,4232058752,5.00073671340942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874589271.89432,5.04539203643799,1000.37194824219,0.00085084753458087,8.88643818558827E-8,1,2,13.0063810348511,5.00251824492692,33.7399989366531,1.10063088992307,0.165181737422045,1,3.16218938797929E-6,,,,,,,,,,,,,,,,,,,,,5.00073671340942,5.09004735946655,1000.37194824219,1000.37194824219,55.1927438141885,5.5228857365358,3.51027369499207,26,1,0,0,1,0.289459228515625,32.7468223571777,6,1,1,5.09004735946655,0,4232058880,5.04539203643799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874589273.84906,5.16077446937561,1000.37194824219,0.000850869132275092,1.20017991216319E-7,1,2,13.0063810348511,5.00251824492692,33.7399989366531,1.1006423204067,0.16529877920697,1,3.24946053012547E-6,,,,,,,,,,,,,,,,,,,,,5.09004735946655,5.23150157928467,1000.37194824219,1000.37194824219,55.3396899758039,5.5228857365358,3.53314590454102,26,1,0,0,1,0.289459228515625,32.7468223571777,6,1,1,5.23150157928467,0,4232058752,5.16077446937561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874589275.84661,5.30996465682983,1000.37194824219,0.000850993037781386,1.05617145253886E-7,1,2,13.0063810348511,5.00252845582616,33.7399989366531,1.10078908246984,0.165437139132284,1,3.33787325517424E-6,,,,,,,,,,,,,,,,,,,,,5.23150157928467,5.388427734375,1000.37194824219,1000.37194824219,55.4084732854962,5.52290357741225,3.56569409370422,26,1,0,0,1,0.291061401367188,32.2580642700195,6,1,1,5.388427734375,0,4232058784,5.30996465682983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874589277.84513,5.45696425437927,1000.37194824219,0.00085129176732945,1.09230416762089E-7,1,2,13.0063810348511,5.00255763732774,33.7399989366531,1.10120125041396,0.165381761142559,1,3.25034851759175E-6,,,,,,,,,,,,,,,,,,,,,5.388427734375,5.52550077438354,1000.37194824219,1000.37194824219,55.3701734880539,5.52289869455726,3.58391833305359,26,1,0,0,1,0.2886962890625,32.7468223571777,6,1,1,5.52550077438354,0,4232058752,5.45696425437927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874589279.84312,5.5978000164032,1000.37194824219,0.000851877963683218,7.55661328487158E-8,1,2,13.0063810348511,5.00255763732774,33.7399989366531,1.10194704313223,0.165581028591444,1,3.31855824728443E-6,,,,,,,,,,,,,,,,,,,,,5.52550077438354,5.67009925842285,1000.37194824219,1000.37194824219,55.4190252705059,5.52289869455726,3.61872410774231,26,1,0,0,1,0.289993286132812,33.2355842590332,6,1,1,5.67009925842285,0,4232058720,5.5978000164032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874589281.85019,5.75236487388611,1000.37194824219,0.000852569875637074,1.28686587101941E-7,1,2,13.0063810348511,5.00250911910877,33.7399989366531,1.10282804624002,0.165707146790589,1,3.31651847571986E-6,,,,,,,,,,,,,,,,,,,,,5.67009925842285,5.83463048934937,1000.37194824219,1000.37194824219,55.3486787037751,5.52248569870034,3.64863228797913,26,1,0,0,1,0.289840698242188,33.2355842590332,6,1,1,5.83463048934937,0,4232058720,5.75236487388611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874589283.88545,5.91868448257446,1000.37194824219,0.000853621432722146,1.09884160369958E-7,1,2,13.0063810348511,5.00251488800048,33.7399989366531,1.10419788218681,0.16585823209113,1,3.27922348510642E-6,,,,,,,,,,,,,,,,,,,,,5.85091114044189,5.98645782470703,1000.37194824219,1000.37194824219,55.3174135630059,5.52277182929784,3.66674065589905,26,1,0,0,1,0.288619995117188,33.2355842590332,6,1,1,5.98645782470703,0,4232058784,5.91868448257446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
