[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3874593053.23344,10/10/2022,7:50 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Quidel - 101022,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.38,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.25,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC, 1000",3874593053.34648
,3874593138.29695,310.034545898438,1000.22534179688,0.000697599881646563,8.32964073491698E-8,1,2,13.0063810348511,5.01088822820205,34.2799983918667,0.904633852008752,0.134824385046619,1,1.88189752200953E-6,,,,,,,,,,,,,,,,,,,,,310.034545898438,310.034545898438,1000.22534179688,1000.22534179688,55.280677022602,5.5285843095683,8.84905052185059,26,1,0,0,1,0.290298461914063,33.2355842590332,1,1,1,310.034545898438,0,4232058720,310.034545898438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874593141.03683,310.032806396484,1000.22534179688,0.000697572912241358,8.576297018883E-8,1,2,13.0063810348511,5.01088822820205,34.2799983918667,0.904589053203738,0.134886340730435,1,1.93360032343073E-6,,,,,,,,,,,,,,,,,,,,,310.032806396484,310.032806396484,1000.22534179688,1000.22534179688,55.3725183736116,5.5285843095683,8.87600135803223,26,1,0,0,1,0.290451049804687,33.2355842590332,6,1,1,310.032806396484,0,4232058688,310.032806396484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874593141.99235,310.031829833984,1000.22534179688,0.000697551348808514,9.90234102176601E-8,1,2,13.0063810348511,5.01088966469132,34.2799983918667,0.904566248358668,0.134849433205465,1,1.90826349240023E-6,,,,,,,,,,,,,,,,,,,,,310.030853271484,310.032806396484,1000.22534179688,1000.22534179688,55.3576674317462,5.52869741029635,8.8786563873291,26,1,0,0,1,0.290145874023438,33.7243423461914,6,1,1,310.030853271484,0,4232058656,310.031829833984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874593143.95357,310.027587890625,1000.22534179688,0.000697107093190088,1.7432780879874E-7,1,2,13.0063810348511,5.01085605147017,34.2799983918667,0.903990762882905,0.134700374858721,1,1.85931997864284E-6,,,,,,,,,,,,,,,,,,,,,310.024322509766,310.030853271484,1000.22534179688,1000.22534179688,55.3775989589866,5.52846175013149,8.90274715423584,26,1,0,0,1,0.292510986328125,33.7243423461914,6,1,1,310.024322509766,0,4232057984,310.027587890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874593145.94779,310.017578125,1000.22534179688,0.000695498332376545,7.89282607525449E-8,1,2,13.0063810348511,5.01085605147017,34.2799983918667,0.901904841022905,0.134387615402649,1,1.85356267773878E-6,,,,,,,,,,,,,,,,,,,,,310.010833740234,310.024322509766,1000.22534179688,1000.22534179688,55.3940131578905,5.52846175013149,8.9146089553833,26,1,0,0,1,0.293655395507812,33.2355842590332,2,1,1,310.010833740234,0,4232057952,310.017578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874593147.94779,310.000396728516,1000.22534179688,0.000697284504210035,1.164476110769E-7,1,2,13.0063810348511,5.00137483151509,34.2799983918667,0.901846151947393,0.134319039511867,1,1.81306720567509E-6,,,,,,,,,,,,,,,,,,,,,309.989959716797,310.010833740234,1000.22534179688,1000.22534179688,55.3877601297366,5.52845776399939,8.91804981231689,26,1,0,0,1,0.29266357421875,33.2355842590332,2,1,1,309.989959716797,0,4232057888,310.000396728516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874593149.95172,309.970703125,1000.22534179688,0.000697452386769236,7.98164496575999E-8,1,2,13.0063810348511,5.00084399901523,34.2799983918667,0.90192046518527,0.1343948615495,1,1.86249095672495E-6,,,,,,,,,,,,,,,,,,,,,309.955871582031,309.985534667969,1000.22534179688,1000.22534179688,55.2810678368616,5.52856787869279,8.94562530517578,26,1,0,0,1,0.293960571289063,33.2355842590332,2,1,1,309.955871582031,0,4232057856,309.970703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874593151.9629,309.929046630859,1000.22534179688,0.000697498264629385,8.35880279492348E-8,1,2,13.0063810348511,5.00084399901523,34.2799983918667,0.901983889554465,0.134375695827846,1,1.84096489050273E-6,,,,,,,,,,,,,,,,,,,,,309.906463623047,309.951629638672,1000.22534179688,1000.22534179688,55.3908866438135,5.52856787869279,8.94765949249268,26,1,0,0,1,0.291748046875,33.7243423461914,2,1,1,309.906463623047,0,4232057696,309.929046630859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874593153.95811,309.873306274414,1000.22534179688,0.000697500239786761,6.24996799926609E-8,1,2,13.0063810348511,5.00081914684201,34.2799983918667,0.901984838221215,0.13434337369408,1,1.81641104366699E-6,,,,,,,,,,,,,,,,,,,,,309.849029541016,309.897583007812,1000.22534179688,1000.22534179688,55.3228849626405,5.52874500868042,8.96412754058838,26,1,0,0,1,0.291366577148438,33.7243423461914,2,1,1,309.849029541016,0,4232057984,309.873306274414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
